productos_precio_lista,sucursales_latitud,sucursales_longitud
1449.00,-38.720681159154644,-62.392348765279166
1449.00,-38.7225,-62.289499999999975
1449.00,-38.72414512676858,-62.276518136698655
1492.00,-38.484317162798675,-61.892693142127996
1536.00,-37.76214567253496,-62.35464239711763
1449.00,-38.7364,-62.2697
1449.00,-38.7289,-62.27109999999999
1449.00,-38.70776946221014,-62.26739162209924
1449.00,-38.73543138360701,-62.23040688095091
1565.00,-39.505846974928296,-62.68522131449572
1449.00,-38.71263348653015,-62.257506122684504
1536.00,-37.66901520951271,-63.53782206773752
1449.00,-38.87821062395813,-62.06410991401674
1449.00,-38.715759146929834,-62.27162326850896
1449.00,-38.884896043742756,-62.07500262565617
1536.00,-36.78521552908544,-59.849216222719406
1536.00,-37.60295050923169,-62.40934926424029
1492.00,-38.71356528769891,-61.29378994979851
1449.00,-38.73337836454684,-62.26018774515978
1449.00,-38.731251517754664,-62.282264373016346
1536.00,-37.4607288597626,-61.93615024871826
1310.00,-38.3825,-60.2685
1536.00,-37.98374648245796,-61.3536998033851
1310.00,-38.3780,-60.2765
1536.00,-37.54617145444056,-62.770495176446275
1449.00,-38.73870376143402,-62.21698734722139
1449.00,-38.7185,-62.299800000000005
1449.00,-38.86010931134604,-62.08606410033099
1449.00,-38.7126,-62.281499999999994
1339.00,-36.89442050512447,-60.316321134632744
1536.00,-38.099077562900334,-62.21948575999704
1550.00,-38.994921652439295,-64.09936720119731
1449.00,-38.72810880771607,-62.22958583068851
1310.00,-38.3706,-60.2680
1449.00,-38.7055,-62.3028
1536.00,-37.976660596903315,-61.359823822713224
1536.00,-37.9854,-61.3540
1449.00,-38.7417,-62.2672
1449.00,-38.71603014882896,-62.248820006716414
1449.00,-38.72,-62.257799999999975
1536.00,-37.37872927469224,-64.60075950635655
1449.00,-38.7144,-62.262
1536.00,-36.788827761866905,-59.871529162628576
1449.00,-38.88662018086889,-62.07033719139872
1505.00,-36.6328,-64.3046
1449.00,-38.8816,-62.0847
1545.00,-38.8312350581498,-68.12051403520854
1505.00,-35.666879647168656,-63.77597430949379
1505.00,-36.62680105632192,-64.28720752117282
1536.00,-37.46528120231377,-61.93027533960344
1536.00,-37.24858428437731,-61.2608061433275
1492.00,-38.82795457624873,-62.695948720065644
1565.00,-39.91463597498252,-62.62024569512505
1536.00,-37.543647060773054,-60.79845738577575
1449.00,-38.68393932708354,-62.29150968720205
1449.00,-38.715215546949175,-62.26692634759752
1499.00,-30.941909789656144,-61.56712484058117
1447.99,-34.6650066,-58.3623175
1447.99,-34.4179366,-58.7255946
1275.00,-31.417021,-64.182915
1419.00,-34.567927,-58.448671
1275.00,-31.415769,-64.169505
1419.00,-34.622723,-58.496400
1608.00,-31.335048,-64.290168
1608.00,-31.408596,-64.170035
1419.00,-34.569917,-58.450469
1419.00,-34.594766,-58.406363
1419.00,-34.615549,-58.387978
1419.00,-34.632213,-58.491184
1275.00,-31.422938,-64.186857
1419.00,-34.568295,-58.444457
1419.00,-34.575307,-58.422856
1447.99,-34.519576,-58.7531003
1447.99,-34.654144,-58.4196788
1447.99,-34.6056255,-58.4135635
1365.00,-38.0002989,-57.5500575
1365.00,-38.0270803,-57.5395204
1575.00,-34.6173202,-58.3916913
1575.00,-34.6236734,-58.4014697
1575.00,-34.6024774,-58.4281829
1575.00,-34.6355238,-58.4889911
1575.00,-34.601775,-58.5618167
1575.00,-34.5994232,-58.4379841
1575.00,-34.6243386,-58.4725229
1575.00,-34.621573,-58.4278588
1575.00,-34.6235495,-58.5107956
1575.00,-34.6395755,-58.5276851
1575.00,-34.6031233,-58.4637523
1575.00,-34.7073674,-58.4181855
1575.00,-34.6322172,-58.4751124
1575.00,-34.6351629,-58.4383403
1575.00,-34.5831225,-58.4980504
1575.00,-34.6871711,-58.4769857
1575.00,-34.6235872,-58.4162756
1575.00,-34.4978183,-58.4892685
1575.00,-34.891004,-58.566485
1575.00,-34.8702073,-57.8808734
1575.00,-34.6673153,-58.5306422
1575.00,-34.6524097,-58.5033599
1575.00,-34.6760405,-58.47618
1575.00,-34.6147863,-58.4787121
1575.00,-34.6058424,-58.4533825
1575.00,-34.6927276,-58.6077235
1575.00,-34.860558,-57.9032607
1575.00,-34.6436537,-58.4927124
1575.00,-34.615999,-58.408296
1575.00,-34.7793172,-58.3102963
1575.00,-34.562834,-58.6101726
1575.00,-34.7482106,-58.5884615
1575.00,-34.6612587,-58.7263109
1575.00,-34.47267,-58.762683
1575.00,-34.6307077,-58.5897402
1575.00,-34.6049604,-58.4208375
1575.00,-34.7073192,-58.5165375
1575.00,-34.8068123,-58.301815
1575.00,-34.6653764,-58.4427103
1575.00,-34.5744356,-58.5744848
1575.00,-34.7520628,-58.2343069
1575.00,-34.8519579,-58.5222721
1575.00,-34.4195453,-58.7286033
1575.00,-34.9105116,-58.5930473
1575.00,-34.6674682,-58.4734538
1575.00,-34.532479,-58.575497
1575.00,-34.6089665,-58.4414318
1575.00,-34.4517657,-58.7974943
1575.00,-34.829305,-58.228639
1575.00,-34.58276,-58.658565
1575.00,-34.65598,-58.762382
1575.00,-34.4982986,-58.6389961
1575.00,-34.5317321,-58.7221086
1575.00,-35.0221052,-58.4204728
1575.00,-34.5911652,-58.5591593
1575.00,-34.8032345,-58.4494122
1575.00,-34.5694121,-58.477915
1575.00,-34.5856526,-58.747632
1575.00,-34.5918835,-58.4474593
1575.00,-34.391595,-58.738736
1575.00,-34.5685513,-58.4928642
1575.00,-34.499386,-58.69522
1575.00,-34.7064894,-58.3900009
1575.00,-34.7652851,-58.1979191
1575.00,-34.4574987,-58.6816499
1575.00,-34.7146631,-58.3722024
1575.00,-34.6699182,-58.4111022
1575.00,-34.6182294,-58.5442501
1575.00,-34.504514,-58.6671114
1575.00,-34.6463432,-58.4673468
1575.00,-34.6486865,-58.4884177
1575.00,-34.5504223,-58.5525115
1575.00,-34.6798995,-58.5108719
1575.00,-34.6344047,-58.3914525
1575.00,-34.421868,-58.741774
1575.00,-34.4523413,-58.5395479
1575.00,-34.586783,-58.576382
1575.00,-34.4103806,-58.6863928
1575.00,-34.59312,-58.571361
1575.00,-34.6887773,-58.3806075
1575.00,-34.7212849,-58.3629215
1575.00,-34.6480353,-58.5641947
1575.00,-34.5098719,-58.5775618
1575.00,-34.5089427,-58.4918272
1575.00,-34.638963,-58.737751
1575.00,-34.594997,-58.4196875
1575.00,-38.0419852,-57.5476181
1575.00,-34.792414,-58.310215
1575.00,-35.169002,-58.231875
1575.00,-34.635247,-58.860948
1575.00,-34.7997695,-58.3959092
1575.00,-37.9876162,-57.560025
1575.00,-34.494028,-58.704919
1575.00,-34.42054,-58.868762
1575.00,-34.6109309,-58.4168101
1575.00,-34.6190759,-58.3729926
1575.00,-36.0186812,-59.0945984
1575.00,-34.531295,-58.555112
1575.00,-34.6423398,-58.4555196
1575.00,-34.5698714,-58.5479156
1575.00,-34.6373762,-58.3697099
1575.00,-34.7204095,-58.4628685
1575.00,-33.225442,-60.332344
1575.00,-34.653951,-59.432368
1575.00,-35.1172245,-60.4858734
1575.00,-34.0980349,-59.02444
1575.00,-34.6300176,-58.4873541
1575.00,-34.6052957,-58.4740289
1575.00,-34.887216,-58.384251
1575.00,-34.173214,-59.795796
1575.00,-34.6230067,-58.4612086
1575.00,-33.459792,-61.488451
1575.00,-35.00172,-61.03402
1575.00,-34.1959,-60.732517
1575.00,-34.5907998,-58.4353056
1575.00,-34.6178375,-58.4425506
1575.00,-34.061751,-60.104689
1575.00,-33.75,-61.965641
1575.00,-34.5773372,-58.5032059
1575.00,-35.767071,-58.493309
1575.00,-35.398366,-59.330897
1575.00,-34.6266864,-58.4245818
1575.00,-34.6051859,-58.3847811
1575.00,-34.6401732,-58.4813056
1575.00,-36.7810658,-59.8595911
1575.00,-34.6298211,-58.3980513
1575.00,-34.5971041,-58.3947861
1575.00,-34.4692902,-58.6512228
1575.00,-34.5880694,-58.4205839
1575.00,-37.317411,-59.134689
1575.00,-34.5555822,-58.4554028
1575.00,-34.5479546,-58.4689903
1575.00,-37.8407516,-58.2562523
1575.00,-34.6346734,-60.4642224
1575.00,-34.4527672,-58.9079006
1575.00,-34.5863049,-58.4109701
1575.00,-34.5667734,-58.4335617
1575.00,-34.6154894,-58.4376446
1575.00,-37.671562,-59.807378
1575.00,-34.578467,-58.4634818
1575.00,-34.6251504,-58.3726168
1575.00,-36.894088,-60.322967
1575.00,-34.5766733,-58.4315629
1575.00,-34.6144399,-58.4608499
1575.00,-34.6123916,-58.3947104
1575.00,-34.6552174,-58.5223907
1575.00,-34.6182412,-58.4699422
1575.00,-34.5911227,-58.4978318
1575.00,-32.397116,-59.792151
1575.00,-34.5945934,-58.4053499
1575.00,-32.6220245,-60.1570702
1575.00,-32.2147611,-58.2220274
1575.00,-32.160073,-58.402913
1575.00,-34.651709,-58.41803
1575.00,-34.5600965,-58.4714163
1575.00,-34.6253767,-58.3823011
1575.00,-34.5962353,-58.4115956
1575.00,-34.6214599,-58.3899576
1575.00,-34.6263387,-58.3789187
1575.00,-34.580357,-58.472993
1575.00,-34.6643978,-58.4489591
1575.00,-34.651054,-58.4712834
1575.00,-34.5971577,-58.4246163
1575.00,-34.6320434,-58.3608448
1575.00,-34.630166,-58.3855908
1575.00,-34.5718154,-58.5059748
1575.00,-34.5750195,-58.4833173
1575.00,-35.487759,-62.975086
1575.00,-34.6226946,-58.4315565
1575.00,-34.6377738,-58.4241346
1575.00,-34.5532062,-58.4647421
1575.00,-34.5698385,-58.4322732
1575.00,-34.6286214,-58.5058549
1575.00,-34.6325699,-58.4627288
1575.00,-34.6337695,-58.4816573
1575.00,-34.6036515,-58.405234
1575.00,-34.6530744,-58.4814134
1575.00,-34.6306283,-58.4692321
1575.00,-34.6182691,-58.476016
1575.00,-34.5580778,-58.4669991
1575.00,-34.5795405,-58.4310392
1575.00,-34.5978334,-58.442373
1575.00,-34.6021724,-58.3767232
1575.00,-34.6372315,-58.4157757
1575.00,-34.668423,-58.486858
1575.00,-34.5637332,-58.4567305
1575.00,-34.6299045,-58.3891921
1575.00,-34.6119685,-58.5279779
1575.00,-34.5727565,-58.4883282
1575.00,-34.577198,-58.4599651
1575.00,-34.5976686,-58.3781834
1575.00,-34.5672438,-58.4502161
1575.00,-34.583693,-58.4675266
1575.00,-34.6136307,-58.3746625
1575.00,-34.5827139,-58.4360493
1575.00,-34.56768,-58.4428269
1575.00,-34.55308,-58.48897
1575.00,-31.734235,-60.547349
1575.00,-34.5716404,-58.4831992
1575.00,-34.612793,-58.42542
1575.00,-32.920926,-60.812213
1575.00,-34.603357,-58.418825
1575.00,-36.777248,-59.088369
1575.00,-31.870218,-60.00852
1575.00,-34.6117242,-58.4332766
1575.00,-34.6510531,-58.4911522
1575.00,-37.449135,-57.72747
1575.00,-34.6047958,-58.3783133
1575.00,-34.6016761,-58.3971054
1575.00,-34.6550838,-58.4959797
1575.00,-34.6227658,-58.4965228
1575.00,-34.5998484,-58.3796545
1575.00,-34.5878485,-58.4270195
1575.00,-34.5701559,-58.4501603
1575.00,-34.668003,-58.5068737
1575.00,-34.6112838,-58.4743521
1575.00,-34.6006324,-58.3886005
1575.00,-34.6100864,-58.3878399
1575.00,-34.606897,-58.3937157
1575.00,-34.5768964,-58.475887
1575.00,-34.6094575,-58.3961317
1575.00,-34.5955928,-58.432102
1575.00,-34.6177626,-58.416892
1575.00,-34.5608571,-58.4631715
1575.00,-34.5653623,-58.4832909
1575.00,-34.6121897,-58.4693123
1575.00,-34.6116871,-58.381835
1575.00,-34.5512734,-58.4871771
1575.00,-34.5892217,-58.3834012
1575.00,-34.5823064,-58.4716114
1575.00,-34.639328,-58.512082
1575.00,-34.6366914,-58.4617314
1575.00,-34.5499895,-58.4532876
1575.00,-34.603977,-58.4403471
1575.00,-34.6384109,-58.5053285
1575.00,-34.6441987,-58.4986633
1575.00,-31.749003,-60.519333
1575.00,-34.6474444,-58.3763218
1575.00,-34.5568173,-58.4789878
1575.00,-34.5802113,-58.4100975
1575.00,-31.738721,-60.517162
1575.00,-34.601174,-58.412809
1575.00,-34.625231,-58.526688
1575.00,-34.680607,-58.478597
1575.00,-34.6433297,-58.485646
1575.00,-34.572029,-58.477695
1575.00,-34.577265,-58.405981
1575.00,-34.598418,-58.446234
1575.00,-34.629103,-58.439518
1575.00,-34.5999938,-58.4032685
1575.00,-30.945779,-58.788319
1575.00,-31.741699,-60.539829
1575.00,-34.633533,-58.410081
1575.00,-31.7680244,-60.5236609
1575.00,-34.621097,-58.4074379
1575.00,-34.5760437,-58.5072986
1575.00,-34.599332,-58.480486
1575.00,-34.5822652,-58.4202581
1575.00,-34.5977771,-58.4205029
1575.00,-33.0367417,-58.9981313
1575.00,-34.581169,-58.493252
1575.00,-34.5899574,-58.5167149
1575.00,-34.64101227,-58.42899124
1575.00,-34.5631748,-58.490732
1575.00,-29.7794731,-58.073937
1575.00,-34.620408,-58.52621
1575.00,-34.601131,-58.406988
1575.00,-31.768899,-60.433338
1575.00,-34.616311,-58.422577
1575.00,-34.608186,-58.444456
1575.00,-31.231412,-59.987265
1575.00,-34.629614,-58.425882
1575.00,-31.660324,-59.914562
1575.00,-34.579757,-58.482059
1575.00,-34.448064,-58.564094
1575.00,-28.574823,-58.710841
1575.00,-34.647987,-58.521936
1575.00,-37.735681,-60.528354
1575.00,-28.254287,-58.628393
1575.00,-34.5619,-58.4688
1575.00,-34.626499,-58.391304
1575.00,-34.639505,-58.421513
1575.00,-34.629762,-58.457285
1575.00,-31.747483,-60.495454
1575.00,-31.751415,-60.502862
1575.00,-31.757699,-60.487082
1575.00,-34.603358,-58.444862
1575.00,-34.617898,-58.465272
1575.00,-34.631579,-58.491985
1575.00,-34.693683,-58.466428
1575.00,-31.730358,-60.520138
1575.00,-34.621669,-58.42257
1575.00,-34.559629,-58.485879
1575.00,-34.61403,-58.404993
1575.00,-34.632718,-58.432586
1575.00,-29.180501,-58.092937
1575.00,-31.828076,-60.517674
1575.00,-34.635218,-58.371168
1575.00,-31.74122,-60.523474
1575.00,-34.578149,-58.46802
1575.00,-34.628733,-58.405357
1575.00,-34.593456,-58.392671
1575.00,-34.593364,-58.384229
1575.00,-34.5991221,-58.491221
1575.00,-34.618786,-58.381768
1575.00,-34.245831,-59.464059
1575.00,-31.955209,-60.125891
1575.00,-34.615627,-58.497314
1575.00,-34.594348,-58.396203
1575.00,-34.645374,-58.465164
1575.00,-34.64076,-58.456776
1575.00,-34.685415,-58.474362
1575.00,-34.60596,-58.491073
1575.00,-34.6084278,-58.4246824
1575.00,-34.585471,-58.436601
1575.00,-34.620567,-58.412729
1575.00,-34.6107613,-58.4818952
1575.00,-34.653559,-58.404483
1575.00,-34.606617,-58.431069
1575.00,-34.6205421,-58.5165333
1575.00,-34.661318,-58.516303
1575.00,-34.599351,-58.392017
1575.00,-34.611208,-58.420392
1575.00,-34.6106075,-58.5195352
1575.00,-34.639292,-58.520689
1575.00,-34.555493,-58.492611
1575.00,-34.585425,-58.500137
1575.00,-34.613414,-58.503961
1575.00,-34.598955,-58.386435
1575.00,-34.6166572,-58.3851356
1575.00,-34.659133,-58.44238
1575.00,-34.649887,-58.501269
1575.00,-34.625428,-58.509474
1575.00,-34.628366,-58.38357
1575.00,-34.620804,-58.418927
1575.00,-34.579531,-58.500624
1575.00,-34.621764,-58.39885
1575.00,-34.577149,-58.438975
1575.00,-34.614959,-58.416725
1575.00,-34.6056819,-58.4634946
1575.00,-34.662714,-58.506603
1575.00,-34.6362515,-58.4767987
1575.00,-34.591693,-58.512055
1575.00,-34.64908,-58.379245
1575.00,-34.6156758,-58.4486061
1575.00,-34.642918,-58.397827
1575.00,-34.6443523,-58.4248546
1575.00,-34.6170364,-58.529055
1575.00,-34.6196191,-58.5093585
1575.00,-34.60759,-58.391787
1575.00,-34.57209,-58.446493
1575.00,-34.587438,-58.395142
1575.00,-34.630962,-58.471583
1575.00,-34.600201,-58.439866
1575.00,-34.628691,-58.38888
1575.00,-34.60401,-58.407322
1575.00,-34.605676,-58.423342
1575.00,-34.639245,-58.448296
1575.00,-34.642459,-58.438805
1575.00,-34.615795,-58.522317
1575.00,-34.07254,-58.478249
1575.00,-34.578032,-58.473224
1575.00,-34.582513,-58.4515
1575.00,-34.590036,-58.495792
1575.00,-34.579954,-58.450937
1575.00,-34.606746,-58.499851
1575.00,-34.610146,-58.470524
1575.00,-34.67669,-58.454442
1575.00,-34.597459,-58.426759
1575.00,-34.545927,-58.462718
1575.00,-34.632758,-58.519834
1640.00,-24.808249,-65.399047
1640.00,-24.7789448,-65.4045791
1640.00,-24.849116,-65.43395
1640.00,-24.797052,-65.398579
1640.00,-24.7871267,-65.4177599
1640.00,-24.443343,-65.1674
